CONCLUSION: These results suggest that LEV-ER is equivalent to LEV-IR in reducing the frequency of POS and has a similar tolerability as LEV-IR as an add-on therapy.,LEV-ER;has;similar tolerability|LEV-ER;reducing;frequency|LEV-ER;has;tolerability as LEV-IR|LEV-ER;has;similar tolerability as LEV-IR|LEV-ER;has;similar tolerability as add-on therapy|LEV-ER;reducing;frequency of POS|LEV-ER;has;similar tolerability as LEV-IR as therapy|LEV-ER;has;tolerability as therapy|LEV-ER;has;similar tolerability as therapy|LEV-ER;has;tolerability|LEV-ER;has;similar tolerability as LEV-IR as add-on therapy|LEV-ER;is;equivalent|LEV-ER;is equivalent to;LEV-IR|LEV-ER;has;tolerability as LEV-IR as add-on therapy|LEV-ER;has;tolerability as add-on therapy|LEV-ER;has;tolerability as LEV-IR as therapy|,16
In addition  LEV-ER treatment improved the health-related quality of life of people with uncontrolled partial epilepsy.,LEV-ER treatment;improved;health-related quality of life|LEV-ER treatment;improved;quality of life|LEV-ER treatment;improved;health-related quality of life of people with partial epilepsy|LEV-ER treatment;improved;health-related quality of life of people|LEV-ER treatment;improved;health-related quality of life of people with uncontrolled epilepsy|LEV-ER treatment;improved;quality of life of people with epilepsy|LEV-ER treatment;improved quality In;addition|LEV-ER treatment;improved;quality of life of people with uncontrolled epilepsy|LEV-ER treatment;improved;quality of life of people with partial epilepsy|LEV-ER treatment;improved;health-related quality|people;is with;uncontrolled partial epilepsy|LEV-ER treatment;improved;quality of life of people with uncontrolled partial epilepsy|LEV-ER treatment;improved;health-related quality of life of people with uncontrolled partial epilepsy|LEV-ER treatment;improved;quality of life of people|LEV-ER treatment;improved;quality|LEV-ER treatment;improved;health-related quality of life of people with epilepsy|,16


Mutations in the STE20-related kinase adaptor a ( STRADA) gene have been reported to cause an autosomal recessive neurodevelopmental disorder characterized by infantile-onset epilepsy  developmental delay  and craniofacial dysmorphisms.,STRADA gene;cause;autosomal neurodevelopmental disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;neurodevelopmental disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;have;have reported|STRADA gene;cause;autosomal recessive neurodevelopmental disorder characterized|STRADA gene;cause;recessive disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;cause;disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;cause;autosomal disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;cause;autosomal recessive neurodevelopmental disorder|STRADA gene;cause;disorder|STRADA gene;have;in STE20-related kinase adaptor have reported|STRADA gene;cause;neurodevelopmental disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;autosomal recessive neurodevelopmental disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;neurodevelopmental disorder characterized|STRADA gene;cause;autosomal recessive disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;neurodevelopmental disorder|STRADA gene;cause;autosomal recessive disorder characterized|STRADA gene;cause;autosomal disorder|STRADA gene;cause;autosomal neurodevelopmental disorder|STRADA gene;cause;disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;recessive neurodevelopmental disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;autosomal recessive neurodevelopmental disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;cause;autosomal neurodevelopmental disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;have;in kinase adaptor have reported|STRADA gene;cause;autosomal recessive disorder|STRADA gene;cause;autosomal neurodevelopmental disorder characterized|STRADA gene;cause;recessive neurodevelopmental disorder characterized|STRADA gene;cause;recessive neurodevelopmental disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;cause;recessive disorder|STRADA gene;cause;recessive neurodevelopmental disorder|STRADA gene;cause;recessive disorder characterized|STRADA gene;cause;autosomal disorder characterized|STRADA gene;cause;autosomal recessive disorder characterized by infantile-onset epilepsy developmental delay|STRADA gene;cause;autosomal disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;recessive disorder characterized by infantile-onset epilepsy delay|STRADA gene;cause;disorder characterized|,35
To date  there have been 17 reported individuals diagnosed with STRADA mutations  16 of which are from a single Old Order Mennonite cohort and share a deletion of exons 9-13.,,0
The remaining individual is of consanguineous Indian descent and has a homozygous single-base pair duplication.,remaining individual;has;single-base pair duplication|remaining individual;is of;consanguineous descent|individual;is of;consanguineous Indian descent|individual;is of;descent|individual;is of;Indian descent|individual;has;single-base pair duplication|individual;has;homozygous single-base pair duplication|individual;is of;consanguineous descent|remaining individual;is of;descent|remaining individual;has;homozygous single-base pair duplication|remaining individual;is of;consanguineous Indian descent|remaining individual;is of;Indian descent|,12
We report a novel STRADA gene deletion of exons 7-9 in 2 sisters from nonconsanguineous parents  as well as an improvement in seizure control in 1 sibling following treatment with sirolimus  an m-Tor inhibitor of potential benefit to patients with this genetic mutation.,We;report;STRADA gene deletion in 2 sisters from nonconsanguineous parents|patients;is with;genetic mutation|We;report;novel STRADA gene deletion in 2 sisters from parents|We;report;STRADA gene deletion|We;report;novel STRADA gene deletion of exons 7-9 in 2 sisters from parents|We;report;STRADA gene deletion in 2 sisters from parents|improvement;is in;1 sibling|We;report;STRADA gene deletion of exons 7-9 in 2 sisters from nonconsanguineous parents|We;report;STRADA gene deletion of exons 7-9 in 2 sisters|We;report;novel STRADA gene deletion in 2 sisters from nonconsanguineous parents|improvement;is in;seizure control|We;report;novel STRADA gene deletion of exons 7-9 in 2 sisters|We;report;novel STRADA gene deletion in 2 sisters|We;report;STRADA gene deletion of exons 7-9 in 2 sisters from parents|We;report;novel STRADA gene deletion of exons 7-9|treatment;is with;sirolimus|We;report;STRADA gene deletion in 2 sisters|novel STRADA gene deletion;is in;2 sisters from nonconsanguineous parents|We;report;novel STRADA gene deletion of exons 7-9 in 2 sisters from nonconsanguineous parents|We;report;STRADA gene deletion of exons 7-9|We;report;novel STRADA gene deletion|,21


BACKGROUND: Patients with MECP2 duplication syndrome present with distinct facial anomalies and clinical features such as global developmental delay  recurrent respiratory infections  and epileptic seizures.,Patients;is with;MECP2 duplication syndrome present|,1
Approximately half of all patients develop epileptic seizures which are refractory in most cases despite active medical management.,,0
Furthermore  no previous reports have discussed the efficacy of surgical treatment for seizures in patients with MECP2 duplication syndrome.,,0
CASE REPORT: In the present report  we describe a case of MECP2 duplication syndrome in a 15-year-old boy who developed epileptic seizures following influenza-associated acute encephalitis.,we;describe;case|we;describe case In;present report|we;describe case In;report|we;describe;case of MECP2 duplication syndrome|we;case of;MECP2 duplication syndrome|,5
His frequent epileptic spasms  tonic  atonic  and partial seizures were refractory to multiple antiepileptic medications.,His epileptic spasms;were;refractory|His frequent spasms;were refractory to;medications|His spasms;were refractory to;multiple antiepileptic medications|His spasms;were refractory to;medications|His frequent epileptic spasms;were refractory to;antiepileptic medications|His frequent spasms;were;refractory|His frequent spasms;were refractory to;multiple antiepileptic medications|His frequent epileptic spasms;were refractory to;multiple medications|His epileptic spasms;were refractory to;antiepileptic medications|His frequent spasms;were refractory to;multiple medications|His spasms;were;refractory|His frequent epileptic spasms;were;refractory|His frequent spasms;were refractory to;antiepileptic medications|His epileptic spasms;were refractory to;multiple antiepileptic medications|His spasms;were refractory to;multiple medications|His frequent epileptic spasms;were refractory to;medications|His epileptic spasms;were refractory to;medications|His epileptic spasms;were refractory to;multiple medications|His frequent epileptic spasms;were refractory to;multiple antiepileptic medications|His spasms;were refractory to;antiepileptic medications|,20
Electroencephalography revealed continuous diffuse epileptic discharge  resulting in regression.,Electroencephalography;revealed;diffuse epileptic discharge|Electroencephalography;revealed;continuous epileptic discharge|Electroencephalography;revealed;continuous epileptic discharge resulting in regression|continuous epileptic discharge;resulting in;regression|Electroencephalography;revealed;continuous diffuse epileptic discharge|Electroencephalography;revealed;continuous discharge resulting in regression|Electroencephalography;revealed;diffuse discharge|Electroencephalography;revealed;continuous diffuse discharge|Electroencephalography;revealed;continuous discharge resulting|Electroencephalography;revealed;discharge|Electroencephalography;revealed;epileptic discharge resulting|continuous diffuse epileptic discharge;resulting in;regression|Electroencephalography;revealed;diffuse epileptic discharge resulting|diffuse epileptic discharge;resulting in;regression|Electroencephalography;revealed;epileptic discharge|Electroencephalography;revealed;continuous diffuse epileptic discharge resulting in regression|Electroencephalography;revealed;continuous diffuse discharge resulting|Electroencephalography;revealed;continuous discharge|continuous diffuse discharge;resulting in;regression|Electroencephalography;revealed;continuous diffuse epileptic discharge resulting|epileptic discharge;resulting in;regression|Electroencephalography;revealed;diffuse epileptic discharge resulting in regression|Electroencephalography;revealed;diffuse discharge resulting in regression|Electroencephalography;revealed;discharge resulting|Electroencephalography;revealed;discharge resulting in regression|Electroencephalography;revealed;continuous epileptic discharge resulting|Electroencephalography;revealed;continuous diffuse discharge resulting in regression|Electroencephalography;revealed;epileptic discharge resulting in regression|diffuse discharge;resulting in;regression|Electroencephalography;revealed;diffuse discharge resulting|discharge;resulting in;regression|continuous discharge;resulting in;regression|,32
A total corpus callosotomy (CC) was performed at the age of 14   years and 7   months.,corpus callosotomy;was;performed|total corpus callosotomy;was performed at;age of 14 years|total corpus callosotomy;was performed at;age|corpus callosotomy;was performed at;age of 14 years|total corpus callosotomy;was;performed|corpus callosotomy;was performed at;age|,6
His seizures markedly decreased following CC  although he continued to experience brief partial seizures approximately once per month.,he;experience once;partial seizures|he;experience approximately once;seizures|he;experience once;brief partial seizures|he;experience approximately once;brief partial seizures|he;experience once;brief seizures|His seizures;markedly decreased;he continued|he;experience;seizures|he;experience approximately once;brief seizures|His seizures;decreased;he continued|His seizures;decreased following;CC|he;experience once;seizures|he;experience;brief partial seizures|His seizures;markedly decreased following;CC|he;experience;partial seizures|he;experience approximately once;partial seizures|he;experience;brief seizures|,16
Post-operative examination revealed that his epileptic discharges had disappeared  and that his developmental state had returned to pre-encephalopathy levels.,his developmental state;had returned to;levels|his state;had returned to;pre-encephalopathy levels|his developmental state;had returned to;pre-encephalopathy levels|his state;had returned to;levels|,4
CONCLUSION: Our findings indicate that CC may represent a valuable surgical option for children with medically refractory generalized seizures following acute encephalopathy  irrespective of genetic disorders such as MECP2 duplication syndrome.,CC;valuable option for;children with medically refractory generalized seizures|CC;represent;valuable option for children with medically refractory generalized seizures|CC;option for;children with medically refractory seizures|CC;surgical option for;children with generalized seizures|CC;represent option following;encephalopathy irrespective of genetic disorders|CC;represent;surgical option for children with medically refractory generalized seizures|CC;option for;children with seizures|CC;represent option following;acute encephalopathy irrespective of genetic disorders|CC;surgical option for;children with refractory generalized seizures|CC;valuable option for;children with seizures|CC;option for;children|CC;represent;option for children with refractory seizures|CC;valuable surgical option for;children with medically refractory generalized seizures|CC;represent;surgical option for children|CC;represent option following;encephalopathy|CC;represent;valuable surgical option for children with medically refractory generalized seizures|CC;valuable option for;children with refractory generalized seizures|CC;option for;children with refractory generalized seizures|CC;valuable option for;children|CC;represent;valuable surgical option for children with generalized seizures|CC;represent option following;encephalopathy irrespective|CC;represent;valuable option for children|CC;valuable surgical option for;children with generalized seizures|CC;valuable option for;children with medically refractory seizures|CC;represent;valuable surgical option for children with refractory generalized seizures|CC;valuable surgical option for;children|CC;represent option following;acute encephalopathy irrespective|CC;valuable option for;children with generalized seizures|CC;represent;surgical option for children with generalized seizures|CC;represent;option for children with medically refractory generalized seizures|CC;surgical option for;children|CC;surgical option for;children with refractory seizures|CC;represent;valuable surgical option for children with seizures|CC;valuable surgical option for;children with refractory seizures|CC;represent;valuable surgical option for children with medically refractory seizures|CC;represent option following;acute encephalopathy|CC;represent;valuable option for children with refractory seizures|CC;represent option following;encephalopathy irrespective of disorders|CC;represent;surgical option for children with medically refractory seizures|CC;represent;option for children with medically refractory seizures|CC;represent;option for children with seizures|CC;surgical option for;children with seizures|CC;represent;option for children with refractory generalized seizures|CC;surgical option for;children with medically refractory seizures|CC;option for;children with medically refractory generalized seizures|CC;represent;surgical option|CC;represent;valuable option for children with refractory generalized seizures|CC;option for;children with generalized seizures|CC;represent;option for children|CC;represent;surgical option for children with refractory seizures|CC;represent;valuable option|CC;represent;valuable surgical option|CC;represent;option|CC;valuable option for;children with refractory seizures|CC;valuable surgical option for;children with refractory generalized seizures|CC;valuable surgical option for;children with seizures|CC;represent option following;acute encephalopathy irrespective of disorders|CC;represent;valuable surgical option for children|CC;represent;valuable option for children with seizures|CC;represent;valuable option for children with generalized seizures|CC;represent;valuable option for children with medically refractory seizures|CC;represent;option for children with generalized seizures|CC;option for;children with refractory seizures|children;is with;medically refractory generalized seizures|CC;valuable surgical option for;children with medically refractory seizures|CC;represent;valuable surgical option for children with refractory seizures|CC;surgical option for;children with medically refractory generalized seizures|CC;represent;surgical option for children with refractory generalized seizures|CC;represent;surgical option for children with seizures|,69


PURPOSE: The main purpose of this study was to compare the efficacy of levetiracetam (LEV) with the older antiepileptic drugs (AEDs) for preventing atypical evolution in children with Rolandic epilepsy (RE).,purpose;compare efficacy with;AEDs|main purpose;compare efficacy with;AEDs|children;is with;Rolandic epilepsy|main purpose;compare;efficacy|main purpose;compare;efficacy of levetiracetam|purpose;compare;efficacy|purpose;compare;efficacy of levetiracetam|,7
Accordingly  the present study compared the efficacy of older AEDs (carbamazepine (CBZ) and valproate sodium (VPA)) with LEV in reducing rolandic discharges (RDs) on interictal electroencephalogram (EEG) in children with RE.,study;compared;efficacy of AEDs|present study;compared;efficacy of AEDs|present study;compared;efficacy of older AEDs|children;is with;RE|study;compared;efficacy|present study;Accordingly compared;efficacy of AEDs|study;compared;efficacy of older AEDs|present study;compared;efficacy|interictal electroencephalogram;is in;children with RE|children;in electroencephalogram is;EEG|study;Accordingly compared;efficacy|study;Accordingly compared;efficacy of older AEDs|present study;Accordingly compared;efficacy of older AEDs|present study;Accordingly compared;efficacy|study;Accordingly compared;efficacy of AEDs|,15
METHODS: Patients in this heterogenous study were subdivided into CBZ  VPA and LEV groups in accordance with the initial monotherapy.,Patients;were;subdivided|Patients;were subdivided in accordance with;monotherapy|Patients;were subdivided into;CBZ VPA|Patients;were subdivided in accordance with;initial monotherapy|Patients;is in;heterogenous study|,5
The CBZ and VPA groups were studied retrospectively  but the LEV group was studied prospectively.,,0
Appearances of discharges were counted and these rates were computed.,rates;were;computed|Appearances;were;counted|,2
In comparison with the baseline RD frequency  EEG response to AED treatment was classified such as complete disappearance and response (>= 50% reduction in RD frequency).,50 % reduction;is in;RD frequency|comparison;is with;baseline RD frequency EEG response to AED treatment|,2
The time taken to attain complete disappearance or response in EEG responders was assessed for each AED treatment group.,response;complete disappearance in;EEG responders|disappearance;is in;EEG responders|time;was assessed for;AED treatment group|response;disappearance in;EEG responders|,4
RESULTS: Responders comprised 10 (11.2%) of the 89 patients treated with CBZ  41 (56.2%) of the 73 patients with VPA  and 25 (71.4%) of the 35 patients with LEV.,35 patients;of 25 is;71.4 %|73 patients;is with;VPA|73 patients;of CBZ is;56.2 %|89 patients;of 10 is;11.2 %|35 patients;is with;LEV|,5
Mean interval to achievement of EEG response in the CBZ  VPA  and LEV groups were 36.3  23.1  and 14.7 months  respectively.,achievement;is in;CBZ VPA|,1
EEG response was achieved significantly more rapidly with LEV than with CBZ (p   <   0.001) or VPA (p   <   0.005).,EEG response;was;achieved more rapidly with LEV than with CBZ|EEG response;was achieved significantly more rapidly with;with CBZ|EEG response;was;achieved rapidly with LEV than with CBZ|EEG response;was achieved with;with CBZ|EEG response;was achieved with;LEV|EEG response;was achieved more rapidly with;LEV|EEG response;was achieved significantly more rapidly with;LEV|EEG response;was;achieved rapidly|EEG response;was achieved rapidly with;with CBZ|EEG response;was;achieved|EEG response;was;achieved significantly more rapidly|EEG response;was;achieved with LEV than with CBZ|EEG response;was;achieved more rapidly|EEG response;was achieved more rapidly with;with CBZ|EEG response;was;achieved significantly more rapidly with LEV than with CBZ|EEG response;was achieved rapidly with;LEV|,16
Seizure control was not significantly different in all 3 investigated drugs.,,0
CONCLUSIONS: LEV seems to be superior to CBZ and VPA in its ability to suppress RDs in children with RE.,children;is with;RE|,1


OBJECTIVES: To examine the possible neuroprotective and antiepileptic effects of metformin in a rat model of PTZ-induced epilepsy and its possible underlying mechanisms.,effects;is in;rat model of PTZ-induced epilepsy|,1
METHODS: forty male albino rats were allocated into 4 equal groups; 1) normal control (NC) group  2) Metf group: metformin (200 mg/kg i.p. daily) for 2 weeks  3) PTZ-group: received PTZ (50 mg/Kg  i.p. every other day) for 2 weeks and 4) Metf group: received PTZ and metformin (200 mg/kg i.p. daily) for 2 weeks.,2 weeks;for metformin is;200 mg/kg i.p. daily|,1
